TimeStamp,NG_A2E,NG_F2I,NG_J,NG_K,FO2_UPNY,FO2_DSNY,FO6_UPNY,FO6_DSNY,coal_NY
01/01/2020,4.78,6.84,6.09,6.71,18.64,18.64,13.88,13.88,3.22
01/08/2020,4.92,8.35,8.62,8.88,18.64,18.64,13.83,13.83,3.22
01/15/2020,4.68,6.08,5.27,5.67,18.68,18.68,13.83,13.83,3.22
01/22/2020,6.09,10.38,10.82,10.88,18.82,18.82,13.91,13.91,3.22
01/29/2020,4.7,6.49,5.97,6.22,18.93,18.93,13.96,13.96,3.22
02/05/2020,4.26,6.99,6.04,6.51,19.07,19.07,14.04,14.04,3.22
02/12/2020,4.59,7.77,7.21,7.35,19.2,19.2,14.11,14.11,3.22
02/19/2020,4.34,6.25,5.85,6.52,19.32,19.32,14.19,14.19,3.22
02/26/2020,4.18,5.59,4.57,5.22,19.45,19.45,14.27,14.27,3.22
03/04/2020,4.42,5.34,4.35,5.43,19.57,19.57,14.35,14.35,3.22
03/11/2020,3.76,4.24,3.57,4.2,19.71,19.71,14.44,14.44,3.22
03/18/2020,3.98,4.56,3.79,4.36,19.76,19.76,14.53,14.53,3.22
03/25/2020,3.9,4.07,3.77,4.17,19.84,19.84,14.61,14.61,3.22
04/01/2020,3.98,4.4,3.66,4.08,19.92,19.92,14.7,14.7,3.22
04/08/2020,3.82,3.99,3.39,3.68,19.99,19.99,14.78,14.78,3.22
04/15/2020,3.74,3.72,3.23,3.57,20.01,20.01,14.84,14.84,3.22
04/22/2020,3.83,3.84,3.36,3.67,19.99,19.99,14.89,14.89,3.22
04/29/2020,3.74,3.98,3.79,3.87,19.98,19.98,14.93,14.93,3.22
05/06/2020,3.71,3.87,3.66,3.8,19.96,19.96,14.97,14.97,3.22
05/13/2020,3.66,3.69,3.49,3.66,19.94,19.94,15,15,3.22
05/20/2020,3.66,3.76,3.46,3.64,19.88,19.88,14.99,14.99,3.22
05/27/2020,3.59,3.75,3.53,3.65,19.84,19.84,14.97,14.97,3.22
06/03/2020,3.71,3.81,3.62,3.74,19.78,19.78,14.96,14.96,3.22
06/10/2020,3.77,3.95,3.62,3.78,19.74,19.74,14.94,14.94,3.22
06/17/2020,3.99,4.41,3.99,4.24,19.69,19.69,14.89,14.89,3.22
06/24/2020,3.85,4.24,3.75,4.03,19.65,19.65,14.84,14.84,3.22
07/01/2020,4.06,4.29,3.99,4.33,19.61,19.61,14.78,14.78,3.22
07/08/2020,4,4.28,4.04,4.32,19.57,19.57,14.74,14.74,3.22
07/15/2020,4.1,4.42,4.14,4.36,19.51,19.51,14.68,14.68,3.22
07/22/2020,4.14,4.31,4.25,4.39,19.47,19.47,14.64,14.64,3.22
07/29/2020,3.8,4.02,3.71,3.99,19.44,19.44,14.58,14.58,3.22
08/05/2020,3.76,3.94,3.63,3.89,19.38,19.38,14.54,14.54,3.22
08/12/2020,3.79,4.21,4.02,4.16,19.34,19.34,14.48,14.48,3.22
08/19/2020,3.71,3.92,3.57,3.84,19.28,19.28,14.45,14.45,3.22
08/26/2020,3.79,4.1,3.84,4.07,19.24,19.24,14.41,14.41,3.22
09/02/2020,3.73,4.13,3.66,4.06,19.18,19.18,14.38,14.38,3.22
09/09/2020,3.72,4.05,3.63,4,19.15,19.15,14.34,14.34,3.22
09/16/2020,3.58,4.05,3.27,3.83,19.09,19.09,14.31,14.31,3.22
09/23/2020,3.31,3.57,2.91,3.46,19.05,19.05,14.28,14.28,3.22
09/30/2020,3.34,3.51,3.04,3.56,19.01,19.01,14.25,14.25,3.22
10/07/2020,3.31,3.59,3.09,3.58,18.95,18.95,14.22,14.22,3.22
10/14/2020,3.68,4.06,3.21,3.9,18.91,18.91,14.19,14.19,3.22
10/21/2020,3.84,4.06,3.55,3.93,18.89,18.89,14.17,14.17,3.22
10/28/2020,3.52,4.05,3.18,3.77,18.86,18.86,14.14,14.14,3.22
11/04/2020,3.64,4.07,3.12,3.71,18.84,18.84,14.12,14.12,3.22
11/11/2020,3.9,4.37,3.51,3.86,18.8,18.8,14.09,14.09,3.22
11/18/2020,4.27,4.94,4.11,4.54,18.76,18.76,14.06,14.06,3.22
11/25/2020,4.19,5.16,4.1,4.59,18.72,18.72,14.05,14.05,3.22
12/02/2020,4.63,6.03,4.79,5.33,18.68,18.68,14.02,14.02,3.22
12/09/2020,4.47,6.4,4.84,5.66,18.64,18.64,14.01,14.01,3.22
12/16/2020,4.24,6.33,4.4,5.15,18.64,18.64,13.96,13.96,3.22
12/23/2020,4.8,7.12,5.34,6.34,18.64,18.64,13.92,13.92,3.22
12/30/2020,4.8,7.12,5.34,6.34,18.64,18.64,13.92,13.92,3.22
