TimeStamp,FitzPatrickCF,FitzPatrickGen,GinnaCF,GinnaGen,IndianPoint2CF,IndianPoint2Gen,IndianPoint3CF,IndianPoint3Gen,NineMilePoint1CF,NineMilePoint1Gen,NineMilePoint2CF,NineMilePoint2Gen
01/01/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/02/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/03/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/04/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/05/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/06/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/07/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/08/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/09/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/10/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/11/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/12/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/13/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/14/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/15/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/16/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/17/2021,1,854.5,1,581.7,0,0,1,1039.9,0.98,616.42,1,1299
01/18/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/19/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/20/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/21/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/22/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/23/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/24/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/25/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/26/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/27/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/28/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/29/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/30/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
01/31/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/01/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/02/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/03/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/04/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/05/2021,1,854.5,1,581.7,0,0,1,1039.9,0.91,572.39,1,1299
02/06/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,0.37,480.63
02/07/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/08/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/09/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/10/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/11/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/12/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/13/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/14/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/15/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/16/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/17/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/18/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/19/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/20/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/21/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/22/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/23/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/24/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/25/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/26/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/27/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
02/28/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/01/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/02/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/03/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/04/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/05/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/06/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,0.81,1052.19
03/07/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/08/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/09/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/10/2021,1,854.5,1,581.7,0,0,1,1039.9,1,629,1,1299
03/11/2021,1,854.5,1,581.7,0,0,1,1039.9,0.99,622.71,1,1299
03/12/2021,1,854.5,1,581.7,0,0,1,1039.9,0.99,622.71,1,1299
03/13/2021,0.75,640.875,1,581.7,0,0,1,1039.9,0.93,584.97,1,1299
03/14/2021,1,854.5,1,581.7,0,0,1,1039.9,0.95,597.55,1,1299
03/15/2021,1,854.5,1,581.7,0,0,1,1039.9,0.94,591.26,1,1299
03/16/2021,1,854.5,1,581.7,0,0,1,1039.9,0.94,591.26,1,1299
03/17/2021,1,854.5,1,581.7,0,0,0.99,1029.501,0.94,591.26,1,1299
03/18/2021,1,854.5,1,581.7,0,0,0.99,1029.501,0.93,584.97,1,1299
03/19/2021,1,854.5,1,581.7,0,0,0.98,1019.102,0.93,584.97,1,1299
03/20/2021,1,854.5,1,581.7,0,0,0.97,1008.703,0.92,578.68,1,1299
03/21/2021,1,854.5,1,581.7,0,0,0.96,998.304,0.91,572.39,1,1299
03/22/2021,1,854.5,1,581.7,0,0,0.96,998.304,0,0,1,1299
03/23/2021,1,854.5,1,581.7,0,0,0.95,987.905,0,0,1,1299
03/24/2021,1,854.5,1,581.7,0,0,0.95,987.905,0,0,1,1299
03/25/2021,1,854.5,1,581.7,0,0,0.95,987.905,0,0,1,1299
03/26/2021,1,854.5,1,581.7,0,0,0.95,987.905,0,0,1,1299
03/27/2021,1,854.5,1,581.7,0,0,0.95,987.905,0,0,1,1299
03/28/2021,1,854.5,1,581.7,0,0,0.94,977.506,0,0,1,1299
03/29/2021,1,854.5,1,581.7,0,0,0.93,967.107,0,0,1,1299
03/30/2021,1,854.5,1,581.7,0,0,0.92,956.708,0,0,1,1299
03/31/2021,1,854.5,1,581.7,0,0,0.92,956.708,0,0,1,1299
04/01/2021,1,854.5,1,581.7,0,0,0.91,946.309,0,0,1,1299
04/02/2021,1,854.5,1,581.7,0,0,0.9,935.91,0,0,1,1299
04/03/2021,1,854.5,1,581.7,0,0,0.9,935.91,0,0,1,1299
04/04/2021,1,854.5,1,581.7,0,0,0.89,925.511,0,0,1,1299
04/05/2021,1,854.5,1,581.7,0,0,0.89,925.511,0,0,1,1299
04/06/2021,1,854.5,1,581.7,0,0,0.88,915.112,0,0,1,1299
04/07/2021,1,854.5,1,581.7,0,0,0.87,904.713,0,0,1,1299
04/08/2021,1,854.5,1,581.7,0,0,0.86,894.314,0,0,1,1299
04/09/2021,1,854.5,1,581.7,0,0,0.86,894.314,0,0,1,1299
04/10/2021,1,854.5,1,581.7,0,0,0.85,883.915,0.01,6.29,1,1299
04/11/2021,1,854.5,1,581.7,0,0,0.85,883.915,0.27,169.83,1,1299
04/12/2021,1,854.5,1,581.7,0,0,0.84,873.516,0.6,377.4,1,1299
04/13/2021,1,854.5,1,581.7,0,0,0.83,863.117,0.75,471.75,1,1299
04/14/2021,1,854.5,1,581.7,0,0,0.83,863.117,1,629,1,1299
04/15/2021,1,854.5,1,581.7,0,0,0.82,852.718,1,629,1,1299
04/16/2021,1,854.5,1,581.7,0,0,0.81,842.319,1,629,1,1299
04/17/2021,1,854.5,1,581.7,0,0,0.81,842.319,1,629,1,1299
04/18/2021,1,854.5,1,581.7,0,0,0.8,831.92,1,629,1,1299
04/19/2021,1,854.5,1,581.7,0,0,0.79,821.521,1,629,1,1299
04/20/2021,1,854.5,1,581.7,0,0,0.79,821.521,1,629,1,1299
04/21/2021,1,854.5,1,581.7,0,0,0.78,811.122,1,629,1,1299
04/22/2021,1,854.5,1,581.7,0,0,0.78,811.122,1,629,1,1299
04/23/2021,1,854.5,1,581.7,0,0,0.77,800.723,1,629,1,1299
04/24/2021,1,854.5,1,581.7,0,0,0.76,790.324,1,629,1,1299
04/25/2021,1,854.5,1,581.7,0,0,0.76,790.324,1,629,1,1299
04/26/2021,1,854.5,1,581.7,0,0,0.75,779.925,1,629,1,1299
04/27/2021,1,854.5,1,581.7,0,0,0.75,779.925,1,629,1,1299
04/28/2021,1,854.5,1,581.7,0,0,0.73,759.127,1,629,1,1299
04/29/2021,1,854.5,1,581.7,0,0,0.73,759.127,1,629,1,1299
04/30/2021,1,854.5,1,581.7,0,0,0.72,748.728,1,629,1,1299
05/01/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/02/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/03/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/04/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/05/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/06/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/07/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/08/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/09/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/10/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/11/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/12/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/13/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/14/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/15/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/16/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/17/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/18/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/19/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/20/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/21/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/22/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/23/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/24/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/25/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/26/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/27/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/28/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/29/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/30/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
05/31/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/01/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/02/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/03/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/04/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/05/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/06/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/07/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/08/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/09/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/10/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/11/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/12/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/13/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/14/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/15/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/16/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/17/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/18/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/19/2021,1,854.5,1,581.7,0,0,0,0,1,629,0.97,1260.03
06/20/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/21/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/22/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/23/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/24/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/25/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/26/2021,0.7,598.15,1,581.7,0,0,0,0,1,629,1,1299
06/27/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/28/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/29/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
06/30/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/01/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/02/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/03/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/04/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/05/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/06/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/07/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/08/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/09/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/10/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/11/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/12/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/13/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/14/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/15/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/16/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/17/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/18/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/19/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/20/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/21/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/22/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/23/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/24/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/25/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/26/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/27/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/28/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/29/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
07/30/2021,1,854.5,1,581.7,0,0,0,0,1,629,0.98,1273.02
07/31/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/01/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/02/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/03/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/04/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/05/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/06/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/07/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/08/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/09/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/10/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/11/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/12/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/13/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/14/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/15/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/16/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/17/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/18/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/19/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/20/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/21/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/22/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/23/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/24/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/25/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/26/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/27/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/28/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/29/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/30/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
08/31/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
09/01/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
09/02/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
09/03/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
09/04/2021,1,854.5,1,581.7,0,0,0,0,1,629,1,1299
