NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_R2,HeatRateQM_R2,BusName,NCOST,cost_1,cost_0
Allegany,23514,B,Combined Cycle,Natural Gas,42.5083,-78.0661,66,11,0.733333333,7.333333333,22,44,0.862442729,0.891406803,62,1,22.68201694,-40.23437161
Arthur Kill ST 2,23512,J,Steam Turbine,Natural Gas,40.5915,-74.2027,349,96,2.85,28.5,85.5,171,0.995836569,0.995859946,82,1,25.30622534,736.9800641
Arthur Kill ST 3,23513,J,Steam Turbine,Natural Gas,40.5915,-74.2027,539,1,3.108333333,31.08333333,93.25,186.5,0.986235371,0.991459809,82,1,25.95728235,993.894899
Astoria 2,24149,J,Steam Turbine,Natural Gas,40.7869,-73.9122,153,1,0.808333333,8.083333333,24.25,48.5,0.987563137,0.988910417,82,1,31.30286349,430.8328984
Astoria 3,23516,J,Steam Turbine,Fuel Oil 2,40.7869,-73.9122,756,40,6.033333333,60.33333333,181,362,0.996074622,0.996268542,82,1,66.08419437,3680.943877
Astoria 5,23518,J,Steam Turbine,Fuel Oil 2,40.7869,-73.9122,776,2,6.466666667,64.66666667,194,388,0.98470148,0.984697799,82,1,64.7200369,3918.904933
Astoria CC 1,323568,J,Combined Cycle,Natural Gas,40.7881,-73.9056,318,129,2.658333333,26.58333333,79.75,159.5,0.946508948,0.946516312,82,1,14.88052925,1128.155435
Astoria CC 2,323569,J,Combined Cycle,Natural Gas,40.7881,-73.9056,320,99,2.691666667,26.91666667,80.75,161.5,0.885957245,0.887446999,82,1,14.94463677,1090.960576
Astoria East Energy - CC1,323581,J,Combined Cycle,Natural Gas,40.7825,-73.8964,313,163,2.95,29.5,88.5,177,0.936384542,0.937311138,82,1,16.87967818,729.7249213
Astoria East Energy - CC2,323582,J,Combined Cycle,Natural Gas,40.7825,-73.8964,313,166,2.933333333,29.33333333,88,176,0.921790208,0.926948446,82,1,16.1316246,958.8368179
Astoria Energy 2 - CC3,323677,J,Combined Cycle,Natural Gas,40.7825,-73.8964,313,92,3.216666667,32.16666667,96.5,193,0.977923656,0.987282115,82,1,18.92170545,679.4621687
Astoria Energy 2 - CC4,323678,J,Combined Cycle,Natural Gas,40.7825,-73.8964,313,87,3.7,37,111,222,0.981152272,0.987958345,82,1,18.71669476,656.4543651
Astoria GT 2-1,24094,J,Jet Engine,Kerosene,40.7864,-73.9133,44,0,0.733333333,7.333333333,22,44,0,0,82,1,195.33105,0
Astoria GT 2-2,24095,J,Jet Engine,Kerosene,40.7864,-73.9133,44,0,0.733333333,7.333333333,22,44,0,0,82,1,195.33105,0
Astoria GT 2-3,24096,J,Jet Engine,Kerosene,40.7864,-73.9133,44,0,0.733333333,7.333333333,22,44,0,0,82,1,195.33105,0
Astoria GT 2-4,24097,J,Jet Engine,Kerosene,40.7864,-73.9133,40,0,0.666666667,6.666666667,20,40,0,0,82,1,195.33105,0
Astoria GT 3-1,24098,J,Jet Engine,Kerosene,40.7864,-73.9133,40,0,0.666666667,6.666666667,20,40,0,0,82,1,195.33105,0
Astoria GT 3-2,24099,J,Jet Engine,Kerosene,40.7864,-73.9133,44,0,0.733333333,7.333333333,22,44,0,0,82,1,195.33105,0
Astoria GT 3-3,24100,J,Jet Engine,Kerosene,40.7864,-73.9133,40,0,0.666666667,6.666666667,20,40,0,0,82,1,195.33105,0
Astoria GT 3-4,24101,J,Jet Engine,Kerosene,40.7864,-73.9133,46,0,0.766666667,7.666666667,23,46,0,0,82,1,195.33105,0
Astoria GT 4-1,24102,J,Jet Engine,Kerosene,40.7864,-73.9133,40,0,0.666666667,6.666666667,20,40,0,0,82,1,195.33105,0
Astoria GT 4-2,24103,J,Jet Engine,Kerosene,40.7864,-73.9133,40,0,0.666666667,6.666666667,20,40,0,0,82,1,195.33105,0
Astoria GT 4-3,24104,J,Jet Engine,Kerosene,40.7864,-73.9133,44,0,0.733333333,7.333333333,22,44,0,0,82,1,195.33105,0
Astoria GT 4-4,24105,J,Jet Engine,Kerosene,40.7864,-73.9133,42,0,0.7,7,21,42,0,0,82,1,195.33105,0
