busIdx,busType,u,name,Vn,vmax,vmin,v0,a0,xcoord,ycoord,area,zone,owner,numGen,sumGenP0,sumGenQ0,numLoad,sumLoadP0,sumLoadQ0,zoneID
58,1,1,GARDENVILLE,230,1.1,0.9,1.0101,0.429146792,-79.133,42.714,2,1,1,0,0,0,1,0.84,0.38,A
59,1,1,GARDENVILLE,115,1.1,0.9,0.99669,0.387213512,-78.797,42.561,2,1,1,0,0,0,1,7.05,1.98,A
54,2,1,NIAGARA W,230,1.1,0.9,1.0408,0.470053819,-78.352,43.125,2,1,1,2,11.15,-0.01298,1,0.2,0,A
55,2,1,NIAGARA E,230,1.1,0.9,1.04,0.45744207,-78.591,42.996,2,1,1,1,10.95,1.48655,1,9.39,1.32,A
56,2,1,HUNTLEY,230,1.1,0.9,1.03,0.469484842,-78.743,43.312,2,1,1,1,4.1,0.87207,1,1.72,0.44,A
57,2,1,HUNTLEY,115,1.1,0.9,1.03,0.448956279,-79.125,42.911,2,1,1,1,2.98,0.03534,1,2.4,-0.06,A
60,2,1,DUNKIRK,230,1.1,0.9,1.04,0.527405339,-79.315,42.33,2,1,1,1,4.1,0.54828,0,0,0,A
61,2,1,DUNKIRK,115,1.1,0.9,1.04,0.466474149,-78.828,42.234,2,1,1,1,1.94,0.1318,1,2.37,0.08,A
52,1,1,ROCHESTER,345,1.1,0.9,1.04193,0.338820768,-77.482,43.312,2,1,1,0,0,0,0,1.95,0,B
53,2,1,ROCHESTER,115,1.1,0.9,1.03,0.314251768,-77.777,42.889,2,1,1,1,8.33,1.73977,1,7.28,2.5,B
62,1,1,STOLLE RD,230,1.1,0.9,1.01628,0.418238485,-78.255,42.708,2,1,1,0,0,0,0,0,0,B
50,2,1,CLAY,345,1.1,0.9,1.05,0.230634789,-76.333,43.306,2,1,1,1,6,0.4118,0,0,0,C
51,2,1,CLAY,115,1.1,0.9,1.04,0.148846915,-76.261,42.939,2,1,1,1,1.41,0.20685,1,7.31,0.75,C
63,1,1,MEYER,230,1.1,0.9,1.00548,0.307993017,-77.824,42.42,2,1,1,0,0,0,0,0,0,C
64,1,1,MEYER,115,1.1,0.9,1.00715,0.253903518,-77.592,42.409,2,1,1,0,0,0,1,1.43,0.25,C
