GEN_NAME,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,GEN_ZONE,UNIT_TYPE,FUEL_TYPE,CMT_KEY,MIN_UP_TIME,MIN_DOWN_TIME
"Danskammer 1(2480,1)",77,0,0,9999,-9999,1,100,1,74.0,17.76,0,0,0,0,0,0,0.7666666666666667,7.666666666666667,23.0,0,0,G,ST,NG,1,7,5
"Danskammer 2(2480,2)",77,0,0,9999,-9999,1,100,1,71.0,15.62,0,0,0,0,0,0,0.6,6.0,18.0,0,0,G,ST,NG,1,7,5
"Danskammer 3(2480,3)",77,0,0,9999,-9999,1,100,1,149.0,53.64,0,0,0,0,0,0,1.2500000000000002,12.500000000000002,37.50000000000001,0,0,G,ST,NG,1,7,5
"Danskammer 4(2480,4)",77,0,0,9999,-9999,1,100,1,237.0,66.36,0,0,0,0,0,0,2.0000000000000004,20.000000000000004,60.00000000000001,0,0,G,ST,NG,1,7,5
"Arthur Kill ST 2(2490,20)",82,0,0,9999,-9999,1,100,1,363.0,94.38000000000001,0,0,0,0,0,0,5.3,53.0,159.0,0,0,J,ST,NG,1,7,5
"Arthur Kill ST 3(2490,30)",82,0,0,9999,-9999,1,100,1,546.0,152.88,0,0,0,0,0,0,3.416666666666667,34.16666666666667,102.50000000000001,0,0,J,ST,NG,1,7,5
"Arthur Kill GT 1(2490,CT0001)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,NG,1,2,2
"East River 1(2493,1)",82,0,0,9999,-9999,1,100,1,296.0,76.96000000000001,0,0,0,0,0,0,2.2833333333333328,22.83333333333333,68.49999999999999,0,0,J,CC,NG,1,6,4
"East River 2(2493,2)",82,0,0,9999,-9999,1,100,1,293.0,76.18,0,0,0,0,0,0,2.7666666666666666,27.666666666666668,83.0,0,0,J,CC,NG,1,6,4
"Gowanus 1-1(2494,CT01-1)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 1-2(2494,CT01-2)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 1-3(2494,CT01-3)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 1-4(2494,CT01-4)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 1-5(2494,CT01-5)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 1-6(2494,CT01-6)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 1-7(2494,CT01-7)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 1-8(2494,CT01-8)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 2-1(2494,CT02-1)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 2-2(2494,CT02-2)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 2-3(2494,CT02-3)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 2-4(2494,CT02-4)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 2-5(2494,CT02-5)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 2-6(2494,CT02-6)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 2-7(2494,CT02-7)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 2-8(2494,CT02-8)",82,0,0,9999,-9999,1,100,1,16.0,12.8,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,J,CT,FO2,1,2,2
"Gowanus 3-1(2494,CT03-1)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 3-2(2494,CT03-2)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 3-3(2494,CT03-3)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 3-4(2494,CT03-4)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 3-5(2494,CT03-5)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 3-6(2494,CT03-6)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 3-7(2494,CT03-7)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 3-8(2494,CT03-8)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 4-1(2494,CT04-1)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 4-2(2494,CT04-2)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 4-3(2494,CT04-3)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 4-4(2494,CT04-4)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 4-5(2494,CT04-5)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 4-6(2494,CT04-6)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 4-7(2494,CT04-7)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Gowanus 4-8(2494,CT04-8)",82,0,0,9999,-9999,1,100,1,15.0,12.0,0,0,0,0,0,0,0.25,2.5,7.5,0,0,J,CT,FO2,1,2,2
"Hudson Ave 3(2496,CT0003)",82,0,0,9999,-9999,1,100,1,14.0,11.2,0,0,0,0,0,0,0.23333333333333334,2.3333333333333335,7.0,0,0,J,CT,KER,1,2,2
"Hudson Ave 5(2496,CT0005)",82,0,0,9999,-9999,1,100,1,14.0,11.2,0,0,0,0,0,0,0.23333333333333334,2.3333333333333335,7.0,0,0,J,CT,KER,1,2,2
"Narrows 1-1(2499,CT01-1)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 1-2(2499,CT01-2)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 1-3(2499,CT01-3)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 1-4(2499,CT01-4)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 1-5(2499,CT01-5)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 1-6(2499,CT01-6)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 1-7(2499,CT01-7)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 1-8(2499,CT01-8)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 2-1(2499,CT02-1)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 2-2(2499,CT02-2)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 2-3(2499,CT02-3)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 2-4(2499,CT02-4)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 2-5(2499,CT02-5)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 2-6(2499,CT02-6)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 2-7(2499,CT02-7)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Narrows 2-8(2499,CT02-8)",82,0,0,9999,-9999,1,100,1,17.0,13.6,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,J,CT,FO2,1,2,2
"Ravenswood ST 01(2500,10)",82,0,0,9999,-9999,1,100,1,362.0,50.68000000000001,0,0,0,0,0,0,2.7166666666666672,27.16666666666667,81.50000000000001,0,0,J,ST,FO6,1,8,7
"Ravenswood ST 02(2500,20)",82,0,0,9999,-9999,1,100,1,386.0,77.2,0,0,0,0,0,0,2.733333333333333,27.33333333333333,81.99999999999999,0,0,J,ST,FO6,1,8,7
"Ravenswood ST 03(2500,30)",82,0,0,9999,-9999,1,100,1,997.0,139.58,0,0,0,0,0,0,7.949999999999999,79.49999999999999,238.49999999999997,0,0,J,ST,FO6,1,8,7
"Ravenswood 01(2500,CT0001)",82,0,0,9999,-9999,1,100,1,16.0,3.2,0,0,0,0,0,0,0.23333333333333334,2.3333333333333335,7.0,0,0,J,CT,NG,1,2,2
"Ravenswood 10(2500,CT0010)",82,0,0,9999,-9999,1,100,1,22.0,14.4,0,0,0,0,0,0,0.06666666666666667,0.6666666666666666,1.9999999999999998,0,0,J,CT,KER,1,2,2
"Ravenswood 11(2500,CT0011)",82,0,0,9999,-9999,1,100,1,22.0,15.84,0,0,0,0,0,0,0.35,3.5,10.5,0,0,J,CT,KER,1,2,2
"Ravenswood CC 04(2500,UCC001)",82,0,0,9999,-9999,1,100,1,271.0,135.5,0,0,0,0,0,0,2.3499999999999996,23.499999999999996,70.49999999999999,0,0,J,CC,NG,1,6,4
"59 St.  GT 1(2503,CT0001)",82,0,0,9999,-9999,1,100,1,14.0,11.2,0,0,0,0,0,0,0.23333333333333334,2.3333333333333335,7.0,0,0,J,CT,KER,1,2,2
"74 St.  GT 1(2504,CT0001)",82,0,0,9999,-9999,1,100,1,14.0,11.2,0,0,0,0,0,0,0.23333333333333334,2.3333333333333335,7.0,0,0,J,CT,KER,1,2,2
"74 St.  GT 2(2504,CT0002)",82,0,0,9999,-9999,1,100,1,14.0,11.2,0,0,0,0,0,0,0.23333333333333334,2.3333333333333335,7.0,0,0,J,CT,KER,1,2,2
"Barrett ST 01(2511,10)",79,0,0,9999,-9999,1,100,1,207.0,41.40000000000001,0,0,0,0,0,0,2.9166666666666665,29.166666666666668,87.5,0,0,K,ST,NG,1,7,5
"Barrett ST 02(2511,20)",79,0,0,9999,-9999,1,100,1,198.0,43.56,0,0,0,0,0,0,1.6166666666666667,16.166666666666668,48.5,0,0,K,ST,NG,1,7,5
"Barrett GT 01(2511,U00004)",79,0,0,9999,-9999,1,100,1,18.0,11.88,0,0,0,0,0,0,0.2833333333333333,2.8333333333333335,8.5,0,0,K,CT,NG,1,2,2
"Barrett GT 02(2511,U00005)",79,0,0,9999,-9999,1,100,1,17.0,10.88,0,0,0,0,0,0,0.25,2.5,7.5,0,0,K,CT,NG,1,2,2
"Barrett 03(2511,U00006)",79,0,0,9999,-9999,1,100,1,18.0,9.0,0,0,0,0,0,0,0.26666666666666666,2.6666666666666665,8.0,0,0,K,CT,NG,1,2,2
