GEN_NAME,GEN_FUEL
59 St.  GT 1,Combustion Turbine
74 St.  GT 1,Combustion Turbine
74 St.  GT 2,Combustion Turbine
Allegany,Combined Cycle
Allied Frozen Storage,Internal Combustion
Arthur Kill Cogen,Internal Combustion
Arthur Kill GT 1,Combustion Turbine
Arthur Kill ST 2,Steam Turbine
Arthur Kill ST 3,Steam Turbine
Astoria 2,Steam Turbine
Astoria 3,Steam Turbine
Astoria 5,Steam Turbine
Astoria CC 1,Combined Cycle
Astoria CC 2,Combined Cycle
Astoria East Energy - CC1,Combined Cycle
Astoria East Energy - CC2,Combined Cycle
Astoria Energy 2 - CC3,Combined Cycle
Astoria Energy 2 - CC4,Combined Cycle
Astoria GT 01,Combustion Turbine
Astoria GT 2-1,Jet Engine
Astoria GT 2-2,Jet Engine
Astoria GT 2-3,Jet Engine
Astoria GT 2-4,Jet Engine
Astoria GT 3-1,Jet Engine
Astoria GT 3-2,Jet Engine
Astoria GT 3-3,Jet Engine
Astoria GT 3-4,Jet Engine
Astoria GT 4-1,Jet Engine
Astoria GT 4-2,Jet Engine
Astoria GT 4-3,Jet Engine
Astoria GT 4-4,Jet Engine
Athens 1,Combined Cycle
Athens 2,Combined Cycle
Athens 3,Combined Cycle
Barrett 03,Combustion Turbine
Barrett 04,Combustion Turbine
Barrett 05,Combustion Turbine
Barrett 06,Combustion Turbine
Barrett 08,Combustion Turbine
Barrett 09,Jet Engine
Barrett 10,Jet Engine
Barrett 11,Jet Engine
Barrett 12,Jet Engine
Barrett GT 01,Combustion Turbine
Barrett GT 02,Combustion Turbine
Barrett ST 01,Steam Turbine
Barrett ST 02,Steam Turbine
Batavia,Combined Cycle
Beaver Falls,Combined Cycle
Bethlehem Energy Center,Combined Cycle
Bethpage,Combined Cycle
Bethpage 3,Combined Cycle
Bethpage GT4,Combustion Turbine
Binghamton (RET - 1/9/18),Combined Cycle
Bowline 1,Steam Turbine
Bowline 2,Steam Turbine
Brentwood,Combustion Turbine
Brooklyn Navy Yard,Combined Cycle
"Burrstone Engy Center, LLC LU",Internal Combustion
