idx,name,Vn,vmax,vmin,v0,a0,xcoord,ycoord,area,zone,sumGenP0,sumGenQ0,sumLoadP0,sumLoadQ0
1,MILLSTONE PT,345,1.1,0.9,1.01517,0.084533277,-72.057,41.005,1,NA,0,0,0,0
2,MONTVILLE,345,1.1,0.9,1.0109,0.070801026,-72.297,41.298,1,NA,0,0,0,0
3,MONTVILLE,115,1.1,0.9,0.9917,0.069933598,-72.01,41.478,1,NA,0,0,0.09,0.88
4,MONTVILLE,345,1.1,0.9,1.01125,0.071567226,-71.798,41.275,1,NA,0,0,0,0
5,CARD ST,345,1.1,0.9,1.00618,0.041062361,-72.078,41.76,1,NA,0,0,0,0
6,SHERMAN RD,345,1.1,0.9,1.00594,0.03246836,-71.616,41.969,1,NA,0,0,3.2,1.53
7,MEDWAY,345,1.1,0.9,1.02071,0.056991981,-71.249,42.206,1,NA,0,0,3.29,0.32
8,MILLBURY,115,1.1,0.9,1.02151,0.034862952,-71.672,42.189,1,NA,0,0,0,0
9,CARPENTER HL,115,1.1,0.9,1.01811,0.018722147,-72.039,42.088,1,NA,0,0,1.58,0.3
10,BRAYTON PT,115,1.1,0.9,1.0306,0.139933518,-71.089,41.648,1,NA,0,0,0,0
11,BRAYTON PT,115,1.1,0.9,1.01169,0.11706796,-71.455,41.507,1,NA,0,0,6.8,1.03
12,BRIDGEWATER,115,1.1,0.9,1.02371,0.103726663,-71.129,41.975,1,NA,0,0,2.74,1.15
13,PILGRIM,345,1.1,0.9,1.04565,0.186291208,-70.49,41.71,1,NA,0,0,0,0
14,CANAL,345,1.1,0.9,1.0395,0.181280368,-70.163,41.721,1,NA,0,0,2.48,0.85
15,WALPOLA,345,1.1,0.9,1.02697,0.0600306,-70.723,42.229,1,NA,0,0,3.09,-0.92
16,VERMONT YNK,345,1.1,0.9,1.04108,0.078038907,-72.479,42.81,1,NA,0,0,2.24,0.47
17,SCOBIE,345,1.1,0.9,1.04016,0.057175241,-71.442,42.826,1,NA,0,0,1.39,0.17
18,SANDY POND,115,1.1,0.9,1.0257,0.026293385,-71.298,42.528,1,NA,0,0,2.81,0.76
19,POWNAL,345,1.1,0.9,1.04132,0.112903604,-70.589,43.114,1,NA,0,0,2.06,0.28
20,MAINE YANKEE,345,1.1,0.9,1.04211,0.159657484,-69.833,43.864,1,NA,0,0,2.84,0.27
21,MILLSTONE PT,24,1.1,0.9,1.0486,0.206964633,-72.404,41.005,1,NA,6.5,2.15117,0,0
22,BRAYTON PT,18,1.1,0.9,1.0593,0.220892361,-70.881,41.411,1,NA,6.32,2.08118,0,0
23,BRAYTON PT,20,1.1,0.9,1.0157,0.205121566,-71.343,41.349,1,NA,5.03,0.19615,0,0
24,PILGRIM,22.8,1.1,0.9,1.07625,0.275357105,-70.538,41.467,1,NA,7,2.61533,0,0
25,CANAL,20,1.1,0.9,1.06,0.319468557,-70.187,41.399,1,NA,5.6,1.08222,0,0
26,MAINE YANKEE,20,1.1,0.9,1.0455,0.274250567,-69.506,43.893,1,NA,8,0.27488,0,0
27,VERMONT YNK,22,1.1,0.9,1.0455,0.193190495,-72.91,43.001,1,NA,5.4,0.37044,0,0
28,NORTHFIELD,13.8,1.1,0.9,1.02751,0.056258943,-72.199,42.465,1,NA,0,0,0,0
29,NORTHFIELD,345,1.1,0.9,1.02751,0.056258943,-72.726,42.482,1,NA,0,0,0,0
30,LUDLOW,345,1.1,0.9,1.01622,0.012582079,-72.582,42.178,1,NA,0,0,3.22,0.02
31,MANCHESTER,345,1.1,0.9,0.99761,0.006921976,-72.581,41.839,1,NA,0,0,5,1.84
32,SCOVILL ROCK,345,1.1,0.9,1.00329,0.032201325,-72.772,41.619,1,NA,0,0,0,0
33,HADDAM NECK,345,1.1,0.9,1.00627,0.04439594,-72.556,41.371,1,NA,0,0,0,0
34,BLACK POND,345,1.1,0.9,0.99603,0.008702212,-72.987,41.304,1,NA,0,0,2.34,0.84
35,SOUTHINGTEN,345,1.1,0.9,0.99524,0.00129678,-73.187,41.563,1,NA,0,0,5.22,1.77
36,CONN YANKEE,345,1.1,0.9,1.0486,0.173887153,-72.643,41.174,1,NA,5.54,2.17901,0.09,0.05
37,NEW SEATHED,345,1.1,0.9,1.04419,0.080393356,-73.923,42.494,2,F,0,0,0,0
38,GILBOA,345,1.1,0.9,1.0421,0.121740206,-74.88,42.336,2,E,0,0,0,0
39,LEEDS,345,1.1,0.9,1.041,0.057140334,-74.001,42.042,2,G,0,0,1,0
40,NEW SEATHED,230,1.1,0.9,1.03072,0.010056587,-74.066,42.646,2,F,0,0,0,0
41,ROTTERDAM,115,1.1,0.9,1.02634,-0.058833304,-73.78,43.086,2,F,0,0,7,1.25
42,ALBANY,115,1.1,0.9,1.04,-0.044793875,-73.628,42.702,2,F,3.7,1.34949,1.77,0.17
43,EDIC,345,1.1,0.9,1.04908,0.145612819,-75.24,42.894,2,E,0,0,0,0
44,PORTER,230,1.1,0.9,1.04792,0.114661151,-75.136,43.013,2,E,0,0,0,0
45,PORTER,115,1.1,0.9,1.04349,0.068891636,-75.24,43.131,2,E,0,0,2.56,0.17
46,COLTON,115,1.1,0.9,1.04781,0.107948614,-75.051,44.428,2,E,0,0,0.23,-0.425
47,MOSES W,230,1.1,0.9,1.03,0.203842239,-75.211,44.654,2,E,4,-0.03268,5.28,1
48,MOSES E,230,1.1,0.9,1.05,0.262021045,-74.821,44.846,2,D,4,1.07452,0,0
49,PLATTSBURGH,115,1.1,0.9,0.96523,-0.019481365,-74.134,44.699,2,D,0,0,2.08,0.17
50,CLAY,345,1.1,0.9,1.05,0.230634789,-76.333,43.306,2,C,6,0.4118,0,0
51,CLAY,115,1.1,0.9,1.04,0.148846915,-76.261,42.939,2,C,1.41,0.20685,7.31,0.75
52,ROCHESTER,345,1.1,0.9,1.04193,0.338820768,-77.482,43.312,2,B,0,0,1.95,0
53,ROCHESTER,115,1.1,0.9,1.03,0.314251768,-77.777,42.889,2,B,8.33,1.73977,7.28,2.5
54,NIAGARA W,230,1.1,0.9,1.0408,0.470053819,-78.352,43.125,2,A,11.15,-0.01298,0.2,0
55,NIAGARA E,230,1.1,0.9,1.04,0.45744207,-78.591,42.996,2,A,10.95,1.48655,9.39,1.32
56,HUNTLEY,230,1.1,0.9,1.03,0.469484842,-78.743,43.312,2,A,4.1,0.87207,1.72,0.44
57,HUNTLEY,115,1.1,0.9,1.03,0.448956279,-79.125,42.911,2,A,2.98,0.03534,2.4,-0.06
58,GARDENVILLE,230,1.1,0.9,1.0101,0.429146792,-79.133,42.714,2,A,0,0,0.84,0.38
59,GARDENVILLE,115,1.1,0.9,0.99669,0.387213512,-78.797,42.561,2,A,0,0,7.05,1.98
60,DUNKIRK,230,1.1,0.9,1.04,0.527405339,-79.315,42.33,2,A,4.1,0.54828,0,0
61,DUNKIRK,115,1.1,0.9,1.04,0.466474149,-78.828,42.234,2,A,1.94,0.1318,2.37,0.08
62,STOLLE RD,230,1.1,0.9,1.01628,0.418238485,-78.255,42.708,2,B,0,0,0,0
63,MEYER,230,1.1,0.9,1.00548,0.307993017,-77.824,42.42,2,C,0,0,0,0
64,MEYER,115,1.1,0.9,1.00715,0.253903518,-77.592,42.409,2,C,0,0,1.43,0.25
65,GESONIDGE,115,1.1,0.9,1.04,0.274990586,-76.978,42.629,2,C,0.91,0.51625,0.91,0
66,WATERCURE,345,1.1,0.9,1.01975,0.364313047,-76.203,41.862,2,C,0,0,0,0
67,WRHL,230,1.1,0.9,1.00265,0.291143609,-77.041,41.952,2,C,0,0,0,0
68,HILLSIDE,115,1.1,0.9,0.99,0.222410797,-76.714,42.15,2,C,0.66,-0.0014,2.11,0.41
69,BINGHAMTON,345,1.1,0.9,1.01948,0.25020342,-75.397,42.009,2,E,0,0,0,0
70,BINGHAMTON,230,1.1,0.9,0.99894,0.236774857,-75.988,42.014,2,C,0,0,0,0
71,BINGHAMTON,115,1.1,0.9,1,0.193979384,-75.789,42.33,2,C,1.34,-3.7366,3.71,0.53
72,LAPEER,115,1.1,0.9,1.05,0.17659765,-76.093,42.635,2,C,1.5,3.79422,0,0
73,PLEASANT VLY,345,1.1,0.9,1.03292,0.028581512,-73.641,41.58,3,G,0,0,1,0
74,MILLWOOD,345,1.1,0.9,1.02708,0.005199336,-73.769,41.304,3,H,0,0,1.02,0
75,RAMAPO,138,1.1,0.9,1.04944,0.022045254,-74.861,41.078,3,G,0,0,0.5,0
76,RAMAPO,345,1.1,0.9,1.04639,0.013917255,-74.311,41.174,3,G,0,0,0.5,0
77,BUCHANAN,345,1.1,0.9,1.03539,0.009526007,-74.12,41.36,3,G,0,0,2,0
78,CE UG,345,1.1,0.9,1.02,0,-73.424,40.773,3,I,4.66019,0.7401,20,6
79,RAV A-3,22,1.1,0.9,1.05,0.14261958,-73.264,40.379,3,K,10,2.57345,3,0
80,NORTHPORT,138,1.1,0.9,1.0232,0.011011282,-73.145,40.852,3,K,7.2,-0.00078,4,0.25
81,GOETHALS,345,1.1,0.9,1.02198,-0.057327085,-73.775,40.491,3,J,0,0,0,0
82,AK-3,22,1.1,0.9,1.05,0.132086518,-73.783,40.745,3,J,4.6,1.25095,0,0
83,KEITH,220,1.1,0.9,0.95576,0.401149966,-82.905,42.11,4,NA,0,0,0.8,0.16
84,KEITH JCT,118.1,1.1,0.9,0.96323,0.409932463,-83.24,41.975,4,NA,0,0,0,0
85,LAMBTON,220,1.1,0.9,0.99128,0.636148078,-82.443,42.544,4,NA,0,0,0.18,0
86,LAMBTON,24,1.1,0.9,1,0.728280518,-82.476,42.81,4,NA,16.5,2.51799,0.5,0.25
87,LAMBTON,220,1.1,0.9,1.01813,0.5873382,-82.61,42.437,4,NA,0,0,0,0
88,SCOTT,220,1.1,0.9,0.97335,0.573450615,-81.917,42.81,4,NA,0,0,1.1,0.55
89,SCOTT,220,1.1,0.9,0.95584,0.527986533,-82.205,42.911,4,NA,0,0,1,0.7
90,VIDA,220,1.1,0.9,0.95411,0.525379011,-82.468,43.255,4,NA,0,0,1.15,0.45
91,RICHVIEW,220,1.1,0.9,1.04,0.19571075,-79.406,43.876,4,NA,9.3,10.82086,16.5,5
92,HANMER,500,1.1,0.9,1.04,0.326060666,-81.095,46.482,4,NA,4.5,3.24468,0.1,3.2
93,ESSA,220,1.1,0.9,0.96211,0.131692073,-79.639,44.733,4,NA,0,0,1.25,0
94,ORANGEVILLE,220,1.1,0.9,0.95948,0.135772653,-80.101,44,4,NA,0,0,0.95,0
95,DES JOAC,220,1.1,0.9,0.97264,0.255407992,-78.102,46.087,4,NA,0,0,-1,0.87
96,HOLDEN,13.8,1.1,0.9,1.02323,0.265300518,-79.523,46.194,4,NA,0,0,-0.4,-0.25
97,MARTINDELE,220,1.1,0.9,1.04,0.245187344,-81.349,46.199,4,NA,6,0.96902,9.1,0.5
98,STLA,220,1.1,0.9,1.04,0.558018414,-75.953,44.637,4,NA,5.85,0.33013,0,0
99,PVR,220,1.1,0.9,1.03842,0.546687736,-75.372,44.976,4,NA,0,0,0,0
100,PHAS,220,1.1,0.9,1.03248,0.459337498,-74.853,45.066,4,NA,0,0,0,0
101,SAB 2,220,1.1,0.9,1.05,0.424959748,-79.843,42.917,4,NA,12,5.06878,3.5,1.3
102,BP 76,220,1.1,0.9,1.0455,0.44548831,-79.349,43.266,4,NA,0,0,0,0
103,PA 27,220,1.1,0.9,1.04629,0.441851044,-79.317,43.069,4,NA,0,0,0,0
104,BEACH,220,1.1,0.9,0.99699,0.229929676,-80.019,43.148,4,NA,0,0,2,0.9
105,BUCHANAN,220,1.1,0.9,0.97457,0.421017049,-81.486,42.731,4,NA,0,0,3.25,0
106,NEALE,220,1.1,0.9,0.99289,0.254571979,-80.921,43.137,4,NA,0,0,0,-0.12
107,NEALE,220,1.1,0.9,1.00616,0.2780868,-80.793,42.99,4,NA,0,0,0,-0.19
108,S CT,220,1.1,0.9,1.00033,0.242871292,-79.781,43.706,4,NA,0,0,0,-0.13
109,SLT,220,1.1,0.9,1.00029,0.242443686,-79.94,43.34,4,NA,0,0,0,-0.13
110,BURLINGTON,220,1.1,0.9,1.00281,0.217117214,-79.644,43.103,4,NA,0,0,7.18,1.25
111,DETWIERER,220,1.1,0.9,0.96194,0.175201386,-80.754,43.52,4,NA,0,0,3.99,0.45
112,CHATHAM,220,1.1,0.9,0.97541,0.516715197,-81.565,42.206,4,NA,0,0,0,0
113,LAUZON,118.1,1.1,0.9,0.9523,0.391779293,-82.123,42.003,4,NA,0,0,2.06,0
114,MARYSVILLE,220,1.1,0.9,0.95972,0.53475492,-82.763,42.911,5,NA,0,0,0,0.9
115,ST CLAIR,500,1.1,0.9,1.02,0.583774238,-82.77,42.629,5,NA,5.5,2.69536,1,0
116,WATERMAN,220,1.1,0.9,0.99338,0.468620904,-82.921,42.324,5,NA,0,0,2,0
117,PONTIAC,230,1.1,0.9,1.00506,0.538697619,-83.488,42.573,5,NA,0,0,4,0.97
118,WAYNE,115,1.1,0.9,0.99857,0.554824461,-83.495,42.127,5,NA,0,0,2.8,0.86
119,THETFORD,220,1.1,0.9,1,0.527801528,-83.633,43.109,5,NA,5.5,1.45624,7.5,2
120,ARGENTA,220,1.1,0.9,1.02,0.46547233,-85.755,43.199,5,NA,7,0.57157,9.46,-0.4
121,SC415,220,1.1,0.9,1.04,0.57408417,-83.145,42.494,5,NA,1.45,1.5785,0,0
122,WATERMAN,220,1.1,0.9,1.05,0.564111358,-83.201,42.319,5,NA,1.55,1.27774,0,0
123,MONROE,230,1.1,0.9,1.01,0.656458474,-83.502,41.619,5,NA,6.55,0.58623,0.63,0.1
124,BRANCHBURG,230,1.1,0.9,1.04471,0.041610395,-74.709,40.627,6,NA,0,0,3.7,0.49
125,LINDON,230,1.1,0.9,1.02196,-0.059620447,-74.301,40.486,6,NA,0,0,3.2,0.05
126,HUDSON,230,1.1,0.9,1.02261,-0.094151786,-74.047,40.892,6,NA,0,0,4.5,0
127,ALBURTIS,500,1.1,0.9,1.04853,0.114353973,-75.706,40.779,6,NA,0,0,2,-1.5
128,WHITPAIN,500,1.1,0.9,1.03926,0.047781879,-75.202,40.136,6,NA,0,0,9.7,-1.02
129,KEENEY,500,1.1,0.9,1.02303,0.15603418,-75.68,39.837,6,NA,0,0,6.1,-0.5
130,PEACH BOTTOM,500,1.1,0.9,1.02,0.212870828,-76.079,39.91,6,NA,4.9,-4.6786,1.8,0
131,CONASTONE,500,1.1,0.9,1.02604,0.234092286,-76.518,39.961,6,NA,0,0,11.6,-4.32
132,JUNIATA,500,1.1,0.9,1.03978,0.341325315,-77.389,40.638,6,NA,0,0,2.1,-3.37
133,CONEMAUGH,500,1.1,0.9,1.02,0.599485691,-79.096,40.435,6,NA,17,-1.41013,0,0
134,HOMER CITY,230,1.1,0.9,1.03,0.446392391,-78.826,41.072,6,NA,8.8,0.43093,0,0
135,KEYSTONE,500,1.1,0.9,1.02,0.610975194,-79.408,40.785,6,NA,23.3,-1.00279,1.7,0
136,ERIE W,345,1.1,0.9,1.00058,0.344137041,-80.295,41.665,6,NA,0,0,2.7,2.23
137,ERIE S,230,1.1,0.9,1.04,0.354729444,-79.953,42.133,6,NA,0.7,1.746,0,0
138,E TOMANO,230,1.1,0.9,0.97073,0.236539238,-76.266,41.715,6,NA,0,0,1.1,0.64
139,KYGER,345,1.1,0.9,1.01,0.512742828,-82.212,38.94,6,NA,1.15,0.18439,0,0
140,TE,230,1.1,0.9,1.04132,0.527267458,-79.283,41.952,6,NA,0,0,0,0
