,NYISO_Name,County
0,Danskammer 1,Orange
1,Danskammer 2,Orange
2,Danskammer 3,Orange
3,Danskammer 4,Orange
4,Arthur Kill ST 2,Richmond
5,Arthur Kill ST 3,Richmond
6,Arthur Kill GT 1,Richmond
7,East River 1,New York
8,East River 2,New York
9,Gowanus 1-1,Kings
10,Gowanus 1-2,Kings
11,Gowanus 1-3,Kings
12,Gowanus 1-4,Kings
13,Gowanus 1-5,Kings
14,Gowanus 1-6,Kings
15,Gowanus 1-7,Kings
16,Gowanus 1-8,Kings
17,Gowanus 2-1,Kings
18,Gowanus 2-2,Kings
19,Gowanus 2-3,Kings
20,Gowanus 2-4,Kings
21,Gowanus 2-5,Kings
22,Gowanus 2-6,Kings
23,Gowanus 2-7,Kings
24,Gowanus 2-8,Kings
25,Gowanus 3-1,Kings
26,Gowanus 3-2,Kings
27,Gowanus 3-3,Kings
28,Gowanus 3-4,Kings
29,Gowanus 3-5,Kings
30,Gowanus 3-6,Kings
31,Gowanus 3-7,Kings
32,Gowanus 3-8,Kings
33,Gowanus 4-1,Kings
34,Gowanus 4-2,Kings
35,Gowanus 4-3,Kings
36,Gowanus 4-4,Kings
37,Gowanus 4-5,Kings
38,Gowanus 4-6,Kings
39,Gowanus 4-7,Kings
40,Gowanus 4-8,Kings
41,Hudson Ave 3,Kings
42,Hudson Ave 5,Kings
43,Narrows 1-1,Kings
44,Narrows 1-2,Kings
45,Narrows 1-3,Kings
46,Narrows 1-4,Kings
47,Narrows 1-5,Kings
48,Narrows 1-6,Kings
49,Narrows 1-7,Kings
50,Narrows 1-8,Kings
51,Narrows 2-1,Kings
52,Narrows 2-2,Kings
53,Narrows 2-3,Kings
54,Narrows 2-4,Kings
55,Narrows 2-5,Kings
56,Narrows 2-6,Kings
57,Narrows 2-7,Kings
58,Narrows 2-8,Kings
59,Ravenswood ST 01,Queens
60,Ravenswood ST 02,Queens
61,Ravenswood ST 03,Queens
62,Ravenswood 01,Queens
63,Ravenswood 10,Queens
64,Ravenswood 11,Queens
65,Ravenswood CC 04,Queens
66,59 St.  GT 1,New York
67,74 St.  GT 1,New York
68,74 St.  GT 2,New York
69,Barrett ST 01,Nassau
70,Barrett ST 02,Nassau
71,Barrett GT 01,Nassau
72,Barrett GT 02,Nassau
73,Barrett 03,Nassau
74,Barrett 04,Nassau
75,Barrett 05,Nassau
76,Barrett 06,Nassau
77,Barrett 08,Nassau
78,Barrett 09,Nassau
79,Barrett 10,Nassau
80,Barrett 11,Nassau
81,Barrett 12,Nassau
82,East Hampton GT 01,Suffolk
83,Glenwood GT 02,Nassau
84,Glenwood GT 03,Nassau
85,Northport 1,Suffolk
86,Northport 2,Suffolk
87,Northport 3,Suffolk
88,Northport 4,Suffolk
89,Northport GT,Suffolk
90,Port Jefferson 3,Suffolk
91,Port Jefferson 4,Suffolk
92,Port Jefferson GT 01,Suffolk
93,Port Jefferson GT 02,Suffolk
94,Port Jefferson GT 03,Suffolk
95,West Babylon 4,Suffolk
96,Greenidge 4,Yates
97,Cayuga 1,Tompkins
98,Cayuga 2,Tompkins
99,Bethlehem Energy Center,Albany
100,Bethlehem Energy Center,Albany
101,Bethlehem Energy Center,Albany
102,Oswego 5,Oswego
103,Oswego 6,Oswego
104,Bowline 1,Rockland
105,Bowline 2,Rockland
106,Hillburn GT,Rockland
107,Shoemaker GT,Orange
108,Freeport CT 2,Nassau
109,Jamestown 7,Chautauqua
110,Somerset,Niagara
111,Wading River 1,Suffolk
112,Wading River 2,Suffolk
113,Wading River 3,Suffolk
114,Shoreham 1,Suffolk
115,Shoreham 2,Suffolk
116,Flynn,Suffolk
117,Glenwood GT 01,Nassau
118,Glenwood GT 04,Nassau
119,Glenwood GT 05,Nassau
120,Vernon Blvd 2,Queens
121,Vernon Blvd 3,Queens
122,Gowanus 5,Kings
123,Gowanus 6,Kings
124,Brentwood,Suffolk
125,Hellgate 1,Bronx
126,Hellgate 2,Bronx
127,Harlem River 1,Bronx
128,Harlem River 2,Bronx
129,Kent,Kings
130,Roseton 1,Orange
131,Roseton 2,Orange
132,Holtsville 01,Suffolk
133,Holtsville 02,Suffolk
134,Holtsville 03,Suffolk
135,Holtsville 04,Suffolk
136,Holtsville 05,Suffolk
137,Holtsville 06,Suffolk
138,Holtsville 07,Suffolk
139,Holtsville 08,Suffolk
140,Holtsville 09,Suffolk
141,Holtsville 10,Suffolk
142,Pouch,Richmond
143,Astoria 2,Queens
144,Astoria 3,Queens
145,Astoria 3,Queens
146,Astoria 5,Queens
147,Astoria 5,Queens
148,Astoria GT 01,
149,Castleton Energy Center,Rensselaer
150,Beaver Falls,Lewis
151,Allegany,Allegany
152,Carthage Energy,Jefferson
153,Syracuse,Onondaga
154,Selkirk-I,Albany
155,Selkirk-II,Albany
156,Selkirk-II,Albany
157,Linden Cogen,
158,Linden Cogen,
159,Linden Cogen,
160,Linden Cogen,
161,Linden Cogen,
162,Linden Cogen,
163,Bethpage,Nassau
164,Bethpage,Nassau
165,Bethpage GT4,Nassau
166,Bethpage 3,Nassau
167,Indeck-Silver Springs,Wyoming
168,Indeck-Oswego,Oswego
169,Indeck-Yerkes,Erie
170,Indeck-Corinth,Saratoga
