,Allegany,Arthur Kill ST 2,Arthur Kill ST 3,Astoria 2,Astoria 3,Astoria 5,Astoria CC 1,Astoria CC 2,Astoria East Energy - CC1,Astoria East Energy - CC2,Astoria Energy 2 - CC3,Astoria Energy 2 - CC4,Astoria GT 2-1,Astoria GT 2-2,Astoria GT 2-3,Astoria GT 2-4,Astoria GT 3-1,Astoria GT 3-2,Astoria GT 3-3,Astoria GT 3-4,Astoria GT 4-1,Astoria GT 4-2,Astoria GT 4-3,Astoria GT 4-4,Athens 1,Athens 2,Athens 3,Barrett 03,Barrett 04,Barrett 05,Barrett 06,Barrett 08,Barrett GT 01,Barrett GT 02,Barrett ST 01,Barrett ST 02,Batavia,Beaver Falls,Bethlehem Energy Center,Bethpage,Bethpage 3,Bethpage GT4,Bowline 1,Bowline 2,Brentwood,Brooklyn Navy Yard,CPV_VALLEY___CC1,CPV_VALLEY___CC2,Caithness_CC_1,Carr St.-E. Syr,Carthage Energy,Castleton Energy Center,Cayuga 1,Danskammer 1,Danskammer 2,Danskammer 3,Danskammer 4,EMPIRE_CC_1,EMPIRE_CC_2,East River 1,East River 2,Far Rockaway GT1,Far Rockaway GT2,Flynn,Fortistar - N.Tonawanda,Freeport CT 1,Freeport CT 2,Glenwood GT 02,Glenwood GT 03,Glenwood GT 04,Glenwood GT 05,Gowanus 5,Gowanus 6,Greenidge 4,Greenport GT1,Harlem River 1,Harlem River 2,Hellgate 1,Hellgate 2,Hillburn GT,Holtsville 01,Holtsville 02,Holtsville 03,Holtsville 04,Holtsville 05,Holtsville 06,Holtsville 07,Holtsville 08,Holtsville 09,Holtsville 10,Indeck-Corinth,Indeck-Olean,Indeck-Oswego,Indeck-Silver Springs,Indeck-Yerkes,Independence,Jamestown 7,KIAC_JFK_GT1,KIAC_JFK_GT2,Kent,Lockport,Massena,Nassau Energy Corporation,Northport 1,Northport 2,Northport 3,Northport 4,Oswego 5,Oswego 6,Pilgrim GT1,Pilgrim GT2,Pinelawn Power 1,Port Jefferson 3,Port Jefferson 4,Port Jefferson GT 02,Port Jefferson GT 03,Pouch,Ravenswood CC 04,Ravenswood ST 01,Ravenswood ST 02,Ravenswood ST 03,Rensselaer,Roseton 1,Roseton 2,Saranac Energy,Selkirk-I,Selkirk-II,Shoemaker GT,Shoreham GT3,Shoreham GT4,Somerset,Sterling,Stony Brook   (BTM:NG),Syracuse,Vernon Blvd 2,Vernon Blvd 3,Wading River 1,Wading River 2,Wading River 3,West Babylon 4,59 St.  GT 1,74 St.  GT 1,74 St.  GT 2,Allied Frozen Storage,Arthur Kill Cogen,Arthur Kill GT 1,Astoria GT 01,Barrett 09,Barrett 10,Barrett 11,Barrett 12,Binghamton (RET - 1/9/18),"Burrstone Engy Center, LLC LU","Burrstone Engy Center, LLC U",Charles P Keller 09,Charles P Keller 10,Charles P Keller 11,Charles P Keller 14,Coxsackie GT,East Hampton 2,East Hampton 3,East Hampton 4,East Hampton GT 01,Freeport 1-4,Freeport 2-3,General Mills Inc,Gowanus 1-1,Gowanus 1-2,Gowanus 1-3,Gowanus 1-4,Gowanus 1-5,Gowanus 1-6,Gowanus 1-7,Gowanus 2-1,Gowanus 2-2,Gowanus 2-3,Gowanus 2-4,Gowanus 2-5,Gowanus 2-6,Gowanus 2-7,Gowanus 2-8,Gowanus 3-1,Gowanus 3-2,Gowanus 3-3,Gowanus 3-4,Gowanus 3-5,Gowanus 3-6,Gowanus 3-7,Gowanus 3-8,Gowanus 4-1,Gowanus 4-2,Gowanus 4-3,Gowanus 4-4,Gowanus 4-5,Gowanus 4-6,Gowanus 4-8,Hudson Ave 3,Hudson Ave 4,Hudson Ave 5,Jamestown 5,Jamestown 6,Narrows 1-1,Narrows 1-2,Narrows 1-3,Narrows 1-4,Narrows 1-5,Narrows 1-6,Narrows 1-7,Narrows 1-8,Narrows 2-1,Narrows 2-2,Narrows 2-3,Narrows 2-4,Narrows 2-5,Narrows 2-6,Narrows 2-7,Narrows 2-8,Northport GT,Ravenswood 01,Ravenswood 10,Ravenswood 11,S Hampton 1,Shoreham 1,Shoreham 2,South Cairo,Southold 1,St. Elizabeth Medical Center
2016-08-12 00:00:00,66.0,349.0,539.0,153.0,40.0,2.0,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,-2.8421709430404e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,209.0,200.99999999999997,43.0,98.0,618.0,61.0,83.0,14.000000000000002,621.0,593.0,15.0,240.0,361.00000000003496,362.0,373.0,82.0,61.0000000000014,78.0,166.0,74.0,70.0,147.0,243.00000000000003,326.999999999992,327.0,223.0,227.0,36.0,23.5,111.00000000000001,51.0,50.0,51.0,6.45,7.199999999999999,49.0,50.0,19.0,42.0,112.99999999999999,21.0,18.0,17.5,17.0,16.0,30.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,49.0,104.5,55.000000000000405,53.0,409.99999999999994,409.99999999999994,411.00000000000006,413.0,39.15,25.45,13.700000000000001,5.1499999999999995,81.0,45.0,45.0,48.0,49.0,48.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,37.0,0.0,0.0,731.0,43.0,45.9999999999954,102.0,18.5,15.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.100000000001188,11.1,20.0,16.0,41.8,41.8,41.8,41.8,47.699999999989004,1.0999999999999999,2.1999999999999997,0.0,0.0,2.30926389122033e-12,0.0,-4.54747350886464e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.7999999999968304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,24.9999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2016-08-12 01:00:00,66.0,349.0,539.0,104.5,40.0,2.0,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,-7.389644451905039e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,83.7118058807784,200.99999999999997,16.5000000000001,98.0,258.0,61.0,83.0,14.000000000000002,621.0,505.34268552399595,15.0,240.0,360.99999999999,362.0,373.0,82.0,61.0000000000014,39.5,166.0,35.0,26.0,147.0,243.00000000000003,327.00000000001,327.0,223.0,227.0,36.0,23.5,111.00000000000001,42.5,0.0,11.5,6.45,7.199999999999999,49.0,3.49999999999999,19.0,6.0,51.0,21.0,18.0,17.5,17.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,8.0,28.000000000000004,55.000000000000405,53.0,409.99999999999994,409.99999999999994,411.00000000000006,413.0,39.15,25.45,13.700000000000001,5.1499999999999995,81.0,45.0,45.0,10.0,11.0,4.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,0.0,0.0,0.0,731.0,43.0,45.999999999997,102.0,18.5,15.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.100000000002609,11.1,0.0,0.0,-3.3750779948604803e-12,0.0,0.0,0.0,47.6999999999549,1.0999999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8421709430404e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2016-08-12 02:00:00,66.0,349.0,539.0,56.00000000000001,40.0,2.0,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,-2.8421709430404e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,133.5,9.0,98.0,115.99999999999999,61.0,83.0,14.000000000000002,621.0,211.342685524044,15.0,144.5,361.000000000047,362.0,373.0,82.0,60.9999999999957,39.0,166.0,7.000000000000001,7.75,147.0,243.00000000000003,327.000000000004,327.0,223.0,227.0,36.0,23.5,111.00000000000001,12.0,0.0,1.0,6.45,7.199999999999999,2.00000000000001,2.0,19.0,6.0,36.0,21.0,18.0,17.5,17.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,8.0,28.000000000000004,55.000000000000405,53.0,409.99999999999994,360.03321118335003,411.00000000000006,413.0,39.15,25.45,13.700000000000001,5.1499999999999995,81.0,45.0,45.0,10.0,11.0,4.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,0.0,0.0,0.0,731.0,37.5,45.9999999999998,102.0,18.5,15.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.100000000002609,11.1,0.0,0.0,7.99360577730113e-12,0.0,0.0,0.0,47.6999999999961,1.0999999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,-2.27373675443232e-11,0.0,0.0,0.0,0.0,0.0,0.0,-2.1316282072802997e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6843418860808e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2016-08-12 03:00:00,66.0,349.0,539.0,7.50000000000003,40.0,2.0,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,48.0,9.0,98.0,115.99999999999999,61.0,83.0,14.000000000000002,621.0,83.39999999999999,15.0,101.0,361.000000000001,362.0,373.0,82.0,60.9999999999957,39.0,141.711871913676,7.000000000000001,7.75,147.0,243.00000000000003,326.999999999992,327.0,223.0,227.0,36.0,23.5,111.00000000000001,12.0,0.0,1.0,6.45,7.199999999999999,1.0,2.0,19.0,6.0,36.0,21.0,18.0,17.5,17.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,8.0,28.000000000000004,55.0000000000072,53.0,409.99999999999994,205.53321118335,411.00000000000006,413.0,39.15,25.45,13.700000000000001,5.1499999999999995,81.0,45.0,45.0,10.0,11.0,4.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,0.0,0.0,0.0,731.0,15.0,45.999999999998394,102.0,18.5,15.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.0999999999898193,11.1,0.0,0.0,-2.04281036531029e-11,0.0,0.0,0.0,47.7000000000018,1.0999999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,-2.27373675443232e-11,0.0,0.0,0.0,0.0,0.0,0.0,-4.9737991503207e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.3948846218409e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2016-08-12 04:00:00,66.0,349.0,539.0,56.00000000000001,40.0,2.0,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,48.0,9.0,98.0,115.99999999999999,61.0,83.0,14.000000000000002,621.0,83.39999999999999,15.0,101.0,361.000000000001,362.0,373.0,82.0,61.0000000000014,39.0,166.0,7.000000000000001,7.75,147.0,243.00000000000003,326.999999999998,327.0,223.0,227.0,36.0,23.5,111.00000000000001,12.0,0.0,1.0,6.45,7.199999999999999,1.0,2.0,19.0,6.0,36.0,21.0,18.0,17.5,17.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,8.0,28.000000000000004,55.0000000000026,53.0,409.99999999999994,113.741680667346,411.00000000000006,413.0,39.15,25.45,13.700000000000001,5.1499999999999995,81.0,45.0,45.0,10.0,11.0,4.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,0.0,0.0,0.0,731.0,22.7305827161067,45.99999999997,102.0,18.5,15.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.10000000001682,11.1,0.0,0.0,-9.05941988094128e-12,0.0,0.0,0.0,47.699999999991896,1.0999999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,-2.27373675443232e-11,0.0,0.0,0.0,0.0,0.0,0.0,-3.5527136788005e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9737991503207e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2016-08-12 05:00:00,66.0,349.0,539.0,104.5,40.0,2.0,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,-5.6843418860808e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,49.0,115.5,9.0,98.0,115.99999999999999,61.0,83.0,14.000000000000002,621.0,299.0,15.0,144.5,360.999999999967,362.0,373.0,82.0,61.0000000000014,39.0,166.0,7.000000000000001,7.75,147.0,243.00000000000003,327.000000000004,327.0,223.0,227.0,36.0,23.5,111.00000000000001,20.5,0.0,1.0,6.45,7.199999999999999,2.00000000001909,2.0,19.0,6.0,36.0,21.0,18.0,17.5,17.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,8.0,28.000000000000004,55.0000000000011,53.0,409.99999999999994,268.241680667346,411.00000000000006,413.0,39.15,25.45,13.700000000000001,5.1499999999999995,81.0,45.0,45.0,10.0,11.0,4.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,0.0,0.0,0.0,731.0,43.0,45.999999999998394,102.0,18.5,15.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.10000000000403,11.1,0.0,0.0,2.30926389122033e-12,0.0,0.0,0.0,47.699999999987604,1.0999999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,-2.27373675443232e-11,0.0,0.0,0.0,0.0,0.0,0.0,-2.1316282072802997e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.526512829121199e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2016-08-12 06:00:00,66.0,349.0,539.0,153.0,40.0,2.0,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,-2.8421709430404e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,154.590122502828,200.99999999999997,35.5,98.0,334.19451106801,61.0,83.0,14.000000000000002,621.0,593.0,15.0,240.0,361.000000000013,362.0,373.0,82.0,60.9999999999985,77.5,166.0,35.0,26.0,147.0,243.00000000000003,327.000000000004,327.0,223.0,227.0,36.0,23.5,111.00000000000001,51.0,0.0,11.5,6.45,7.199999999999999,49.0,3.49999999999999,19.0,7.000000000000001,51.0,21.0,18.0,17.5,17.0,16.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,8.0,38.395177777205205,55.000000000000405,53.0,409.99999999999994,409.99999999999994,411.00000000000006,413.0,39.15,25.45,13.700000000000001,5.1499999999999995,81.0,45.0,45.0,10.0,11.0,4.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,0.0,0.0,0.0,731.0,43.0,46.0000000000183,102.0,18.5,15.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.10000000003103099,11.1,20.0,16.0,2.30926389122033e-12,0.0,0.0,0.0,47.7000000000146,1.0999999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,-2.27373675443232e-11,0.0,0.0,0.0,0.0,0.0,0.0,-3.5527136788005e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2632564145605995e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2016-08-12 07:00:00,66.0,349.0,539.0,153.0,40.0,2.0,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,209.0,200.99999999999997,43.0,98.0,618.0,61.0,83.0,14.000000000000002,621.0,593.0,15.0,240.0,361.00000000003496,362.0,373.0,82.0,61.0000000000014,78.0,166.0,74.0,70.0,147.0,243.00000000000003,326.999999999998,327.0,223.0,227.0,36.0,23.5,111.00000000000001,51.0,50.0,51.0,6.45,7.199999999999999,49.0,50.0,19.0,43.0,112.99999999999999,21.0,18.0,17.5,17.0,16.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,49.0,114.89517777720499,55.0000000000026,53.0,409.99999999999994,409.99999999999994,411.00000000000006,413.0,39.15,25.45,13.700000000000001,5.1499999999999995,81.0,45.0,45.0,10.0,11.0,48.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,37.0,0.0,0.0,731.0,43.0,45.999999999998394,102.0,18.5,42.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.100000000046663,11.1,20.0,16.0,-9.05941988094128e-12,41.8,26.512523756786997,41.8,47.699999999991896,1.0999999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,-4.54747350886464e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.7999999999954097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,24.9999999999957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2016-08-12 08:00:00,66.0,349.0,539.0,153.0,40.0,2.0,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,-2.8421709430404e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,22.0,22.0,21.0,21.0,22.0,20.5,20.5,209.0,200.99999999999997,43.0,98.0,618.0,61.0,83.0,49.0,621.0,593.0,44.678814347171,240.0,361.00000000003496,362.0,373.0,82.0,61.00000000000419,78.0,166.0,74.0,70.0,147.0,243.00000000000003,326.999999999998,327.0,223.0,227.0,36.0,23.5,111.00000000000001,51.0,50.0,51.0,6.45,7.199999999999999,49.0,50.0,44.0,43.0,112.99999999999999,21.0,43.0,43.0,43.0,43.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,49.0,153.0,55.0000000000068,53.0,409.99999999999994,409.99999999999994,411.00000000000006,413.0,39.15,25.45,13.700000000000001,9.5,81.0,45.0,45.0,48.0,49.0,48.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,37.0,0.0,0.0,731.0,43.0,45.999999999998394,102.0,43.0,42.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.100000000006872,11.1,20.0,16.0,41.7999999999973,41.8,41.8,41.8,47.6999999999748,1.0999999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79999999999399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,24.9999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2016-08-12 09:00:00,66.0,349.0,539.0,153.0,40.0,209.000075148957,318.0,320.0,313.0,313.0,313.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,378.0,392.0,24.0,24.0,22.0,22.0,23.0,22.0,22.0,209.0,200.99999999999997,43.0,98.0,618.0,61.0,83.0,49.0,621.0,593.0,49.0,240.0,360.99999999991,362.0,373.0,82.0,60.9999999999985,78.0,166.0,74.0,70.0,147.0,243.00000000000003,327.000000000004,327.0,223.0,227.0,36.0,23.5,111.00000000000001,51.0,50.0,51.0,6.45,7.199999999999999,49.0,50.0,44.0,43.0,112.99999999999999,21.0,43.0,43.0,43.0,43.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.0,84.0,61.0,60.0,56.99999999999999,1218.0,46.0,65.0,71.0,49.0,153.0,55.0000000000058,53.0,409.99999999999994,409.99999999999994,411.00000000000006,413.0,289.15000000000003,235.923568884738,47.0,48.0,81.0,45.0,45.0,48.0,49.0,48.0,286.0,1.0,3.0,1.0,84.0,30.3,30.8,268.0,143.0,304.0,37.0,0.0,0.0,731.0,43.0,45.999999999997,102.0,43.0,42.0,9.0,7.8,4.0,3.0,0.0,0.0,0.0,0.100000000008293,11.1,20.0,16.0,41.8000000000029,41.8,41.8,41.8,47.7000000000061,1.0999999999999999,2.1999999999999997,0.0,0.0,0.0,0.0,-2.27373675443232e-11,0.0,0.0,0.0,0.0,0.0,0.0,3.7999999999968304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,24.9999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
